gene_callers_id	source	accession	function	e_value
1840	KeggGhostKoala	K00077	 panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	0
3449	KeggGhostKoala	K00088	 IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	0
2761	KeggGhostKoala	K00097	 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	0
2275	KeggGhostKoala	K00099	 dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0
16	KeggGhostKoala	K00133	 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	0
4192	KeggGhostKoala	K00134	 GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	0
1336	KeggGhostKoala	K00145	 argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	0
1193	KeggGhostKoala	K00147	 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	0
1595	KeggGhostKoala	K00174	 korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	0
2498	KeggGhostKoala	K00174	 korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	0
1594	KeggGhostKoala	K00175	 korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	0
2496	KeggGhostKoala	K00175	 korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	0
2499	KeggGhostKoala	K00176	 korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	0
2495	KeggGhostKoala	K00177	 korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	0
2466	KeggGhostKoala	K00179		0
2467	KeggGhostKoala	K00180		0
1074	KeggGhostKoala	K00208	 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	0
1898	KeggGhostKoala	K00215	 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	0
717	KeggGhostKoala	K00226	 pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	0
1877	KeggGhostKoala	K00239	 sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	0
1878	KeggGhostKoala	K00240	 sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	0
1876	KeggGhostKoala	K00241	 sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	0
22	KeggGhostKoala	K00243		0
4026	KeggGhostKoala	K00259	 ald; alanine dehydrogenase [EC:1.4.1.1]	0
3250	KeggGhostKoala	K00262	 E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0
3255	KeggGhostKoala	K00262	 E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0
583	KeggGhostKoala	K00265	 gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	0
582	KeggGhostKoala	K00266	 gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	0
4128	KeggGhostKoala	K00266	 gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	0
3759	KeggGhostKoala	K00275	 pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	0
3886	KeggGhostKoala	K00281	 GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	0
1334	KeggGhostKoala	K00286	 proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	0
1038	KeggGhostKoala	K00287	 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	0
2569	KeggGhostKoala	K00290	 LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	0
922	KeggGhostKoala	K00297	 metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	0
3973	KeggGhostKoala	K00297	 metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	0
822	KeggGhostKoala	K00330	 nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	0
821	KeggGhostKoala	K00331	 nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	0
819	KeggGhostKoala	K00337	 nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	0
818	KeggGhostKoala	K00338	 nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	0
817	KeggGhostKoala	K00339	 nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	0
816	KeggGhostKoala	K00340	 nuoK; NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	0
815	KeggGhostKoala	K00341	 nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	0
814	KeggGhostKoala	K00342	 nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]	0
813	KeggGhostKoala	K00343	 nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	0
2926	KeggGhostKoala	K00346		0
2927	KeggGhostKoala	K00347		0
2928	KeggGhostKoala	K00348		0
2929	KeggGhostKoala	K00349		0
2930	KeggGhostKoala	K00350		0
2931	KeggGhostKoala	K00351		0
1731	KeggGhostKoala	K00382	 DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	0
2352	KeggGhostKoala	K00382	 DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	0
4140	KeggGhostKoala	K00384	 trxB; thioredoxin reductase (NADPH) [EC:1.8.1.9]	0
3738	KeggGhostKoala	K00425	 cydA; cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.14]	0
3737	KeggGhostKoala	K00426	 cydB; cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.14]	0
3156	KeggGhostKoala	K00432	 gpx; glutathione peroxidase [EC:1.11.1.9]	0
357	KeggGhostKoala	K00525	 E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	0
3975	KeggGhostKoala	K00525	 E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	0
3974	KeggGhostKoala	K00526	 E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	0
2427	KeggGhostKoala	K00548	 metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	0
2689	KeggGhostKoala	K00548	 metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	0
2999	KeggGhostKoala	K00554		0
453	KeggGhostKoala	K00558	 DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	0
3116	KeggGhostKoala	K00558	 DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	0
1039	KeggGhostKoala	K00560	 thyA, TYMS; thymidylate synthase [EC:2.1.1.45]	0
1264	KeggGhostKoala	K00561		0
1607	KeggGhostKoala	K00566	 mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	0
1915	KeggGhostKoala	K00566	 mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	0
3427	KeggGhostKoala	K00566	 mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	0
2897	KeggGhostKoala	K00567		0
3962	KeggGhostKoala	K00595	 cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]	0
3036	KeggGhostKoala	K00600	 glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	0
4275	KeggGhostKoala	K00600	 glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	0
913	KeggGhostKoala	K00602	 purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	0
2315	KeggGhostKoala	K00602	 purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	0
3343	KeggGhostKoala	K00603	 fctD; glutamate formiminotransferase [EC:2.1.2.5]	0
309	KeggGhostKoala	K00604	 MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]	0
4004	KeggGhostKoala	K00605	 gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]	0
3669	KeggGhostKoala	K00606	 panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	0
3032	KeggGhostKoala	K00609	 pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	0
3033	KeggGhostKoala	K00610	 pyrI; aspartate carbamoyltransferase regulatory subunit	0
2503	KeggGhostKoala	K00615	 E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	0
3389	KeggGhostKoala	K00615	 E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	0
3390	KeggGhostKoala	K00615	 E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	0
3027	KeggGhostKoala	K00616	 E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	0
1153	KeggGhostKoala	K00625	 E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]	0
1596	KeggGhostKoala	K00639	 kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]	0
1706	KeggGhostKoala	K00640	 cysE; serine O-acetyltransferase [EC:2.3.1.30]	0
3547	KeggGhostKoala	K00640	 cysE; serine O-acetyltransferase [EC:2.3.1.30]	0
596	KeggGhostKoala	K00645	 fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	0
1620	KeggGhostKoala	K00647	 fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	0
1626	KeggGhostKoala	K00647	 fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	0
1628	KeggGhostKoala	K00647	 fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	0
3460	KeggGhostKoala	K00648	 fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	0
2347	KeggGhostKoala	K00651	 metA; homoserine O-succinyltransferase [EC:2.3.1.46]	0
2857	KeggGhostKoala	K00652	 bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	0
3714	KeggGhostKoala	K00652	 bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	0
2425	KeggGhostKoala	K00655	 plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	0
2128	KeggGhostKoala	K00656	 E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	0
3754	KeggGhostKoala	K00656	 E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	0
3842	KeggGhostKoala	K00657	 speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]	0
2354	KeggGhostKoala	K00658	 DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	0
2969	KeggGhostKoala	K00661		0
3641	KeggGhostKoala	K00666		0
256	KeggGhostKoala	K00677	 lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	0
3244	KeggGhostKoala	K00677	 lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	0
1379	KeggGhostKoala	K00684		0
3225	KeggGhostKoala	K00688	 PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]	0
3013	KeggGhostKoala	K00700	 GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	0
3772	KeggGhostKoala	K00703	 glgA; starch synthase [EC:2.4.1.21]	0
2092	KeggGhostKoala	K00705	 malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]	0
1566	KeggGhostKoala	K00717	 FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]	0
2429	KeggGhostKoala	K00721	 DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	0
1006	KeggGhostKoala	K00748	 lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]	0
4117	KeggGhostKoala	K00757	 udp, UPP; uridine phosphorylase [EC:2.4.2.3]	0
1850	KeggGhostKoala	K00759	 APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]	0
2305	KeggGhostKoala	K00760	 hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	0
1593	KeggGhostKoala	K00761	 upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]	0
1538	KeggGhostKoala	K00762	 pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	0
585	KeggGhostKoala	K00764	 purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	0
4002	KeggGhostKoala	K00764	 purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	0
2547	KeggGhostKoala	K00765	 hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]	0
503	KeggGhostKoala	K00766	 trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	0
2561	KeggGhostKoala	K00767	 nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	0
2872	KeggGhostKoala	K00768	 E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	0
2861	KeggGhostKoala	K00773		0
3751	KeggGhostKoala	K00782		0
2560	KeggGhostKoala	K00783		0
2742	KeggGhostKoala	K00784	 rnz; ribonuclease Z [EC:3.1.26.11]	0
3206	KeggGhostKoala	K00788	 thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	0
3215	KeggGhostKoala	K00788	 thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	0
1814	KeggGhostKoala	K00789	 metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	0
2272	KeggGhostKoala	K00790	 murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	0
254	KeggGhostKoala	K00791	 miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	0
4193	KeggGhostKoala	K00791	 miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	0
3643	KeggGhostKoala	K00793	 ribE, RIB5; riboflavin synthase [EC:2.5.1.9]	0
2795	KeggGhostKoala	K00794	 ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	0
1147	KeggGhostKoala	K00796	 folP; dihydropteroate synthase [EC:2.5.1.15]	0
2188	KeggGhostKoala	K00798	 MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	0
975	KeggGhostKoala	K00800	 aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	0
1544	KeggGhostKoala	K00806	 uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]	0
86	KeggGhostKoala	K00812	 aspB; aspartate aminotransferase [EC:2.6.1.1]	0
721	KeggGhostKoala	K00812	 aspB; aspartate aminotransferase [EC:2.6.1.1]	0
2549	KeggGhostKoala	K00817	 hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	0
4319	KeggGhostKoala	K00819	 rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]	0
584	KeggGhostKoala	K00820	 glmS, GFPT; glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	0
1335	KeggGhostKoala	K00821	 argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	0
3272	KeggGhostKoala	K00826	 E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	0
2933	KeggGhostKoala	K00831	 serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	0
3713	KeggGhostKoala	K00833	 bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	0
29	KeggGhostKoala	K00845	 glk; glucokinase [EC:2.7.1.2]	0
1912	KeggGhostKoala	K00847	 E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]	0
2289	KeggGhostKoala	K00847	 E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]	0
1340	KeggGhostKoala	K00848	 rhaB; rhamnulokinase [EC:2.7.1.5]	0
2510	KeggGhostKoala	K00849	 galK; galactokinase [EC:2.7.1.6]	0
1025	KeggGhostKoala	K00850	 pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	0
1059	KeggGhostKoala	K00850	 pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	0
631	KeggGhostKoala	K00854	 xylB, XYLB; xylulokinase [EC:2.7.1.17]	0
925	KeggGhostKoala	K00857	 tdk, TK; thymidine kinase [EC:2.7.1.21]	0
1109	KeggGhostKoala	K00858	 ppnK, NADK; NAD+ kinase [EC:2.7.1.23]	0
4014	KeggGhostKoala	K00859	 coaE; dephospho-CoA kinase [EC:2.7.1.24]	0
3439	KeggGhostKoala	K00860	 cysC; adenylylsulfate kinase [EC:2.7.1.25]	0
3388	KeggGhostKoala	K00864	 glpK, GK; glycerol kinase [EC:2.7.1.30]	0
2235	KeggGhostKoala	K00865	 glxK, garK; glycerate 2-kinase [EC:2.7.1.165]	0
1549	KeggGhostKoala	K00868	 pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]	0
1553	KeggGhostKoala	K00873	 PK, pyk; pyruvate kinase [EC:2.7.1.40]	0
1598	KeggGhostKoala	K00874	 kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	0
3936	KeggGhostKoala	K00874	 kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	0
2130	KeggGhostKoala	K00876	 udk, UCK; uridine kinase [EC:2.7.1.48]	0
2544	KeggGhostKoala	K00876	 udk, UCK; uridine kinase [EC:2.7.1.48]	0
2037	KeggGhostKoala	K00891	 E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]	0
2478	KeggGhostKoala	K00895	 pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	0
3693	KeggGhostKoala	K00901	 dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	0
2231	KeggGhostKoala	K00912	 lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	0
3161	KeggGhostKoala	K00919	 ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	0
1154	KeggGhostKoala	K00925	 ackA; acetate kinase [EC:2.7.2.1]	0
4355	KeggGhostKoala	K00927	 PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]	0
729	KeggGhostKoala	K00928	 lysC; aspartate kinase [EC:2.7.2.4]	0
2956	KeggGhostKoala	K00928	 lysC; aspartate kinase [EC:2.7.2.4]	0
2023	KeggGhostKoala	K00929	 buk; butyrate kinase [EC:2.7.2.7]	0
2039	KeggGhostKoala	K00930	 argB; acetylglutamate kinase [EC:2.7.2.8]	0
1194	KeggGhostKoala	K00931	 proB; glutamate 5-kinase [EC:2.7.2.11]	0
3303	KeggGhostKoala	K00937	 ppk; polyphosphate kinase [EC:2.7.4.1]	0
3856	KeggGhostKoala	K00937	 ppk; polyphosphate kinase [EC:2.7.4.1]	0
2306	KeggGhostKoala	K00939	 adk, AK; adenylate kinase [EC:2.7.4.3]	0
1101	KeggGhostKoala	K00940	 ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]	0
597	KeggGhostKoala	K00941	 thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	0
2268	KeggGhostKoala	K00942	 E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]	0
1027	KeggGhostKoala	K00945	 cmk; CMP/dCMP kinase [EC:2.7.4.25]	0
2229	KeggGhostKoala	K00946	 thiL; thiamine-monophosphate kinase [EC:2.7.4.16]	0
3216	KeggGhostKoala	K00948	 PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	0
4132	KeggGhostKoala	K00949	 thiN, TPK1, THI80; thiamine pyrophosphokinase [EC:2.7.6.2]	0
1803	KeggGhostKoala	K00950	 folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	0
1000	KeggGhostKoala	K00951	 relA; GTP pyrophosphokinase [EC:2.7.6.5]	0
3694	KeggGhostKoala	K00951	 relA; GTP pyrophosphokinase [EC:2.7.6.5]	0
1873	KeggGhostKoala	K00954	 E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	0
3437	KeggGhostKoala	K00955	 cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	0
3438	KeggGhostKoala	K00957	 cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	0
2137	KeggGhostKoala	K00962	 pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	0
2266	KeggGhostKoala	K00969	 nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	0
638	KeggGhostKoala	K00971	 manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	0
2141	KeggGhostKoala	K00971	 manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	0
2824	KeggGhostKoala	K00971	 manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	0
4243	KeggGhostKoala	K00971	 manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	0
636	KeggGhostKoala	K00973	 E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	0
2593	KeggGhostKoala	K00973	 E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	0
2907	KeggGhostKoala	K00978	 rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	0
3019	KeggGhostKoala	K00979	 kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	0
1008	KeggGhostKoala	K00981	 E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]	0
4084	KeggGhostKoala	K00986		0
1103	KeggGhostKoala	K00991	 ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	0
2104	KeggGhostKoala	K01000	 mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	0
3051	KeggGhostKoala	K01006	 ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]	0
3361	KeggGhostKoala	K01012	 bioB; biotin synthase [EC:2.8.1.6]	0
3712	KeggGhostKoala	K01012	 bioB; biotin synthase [EC:2.8.1.6]	0
881	KeggGhostKoala	K01051	 E3.1.1.11; pectinesterase [EC:3.1.1.11]	0
907	KeggGhostKoala	K01051	 E3.1.1.11; pectinesterase [EC:3.1.1.11]	0
4008	KeggGhostKoala	K01056		0
3736	KeggGhostKoala	K01057	 PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]	0
2213	KeggGhostKoala	K01077	 E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]	0
2865	KeggGhostKoala	K01079	 serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]	0
83	KeggGhostKoala	K01081	 E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]	0
3441	KeggGhostKoala	K01082	 cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]	0
2550	KeggGhostKoala	K01089	 hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]	0
1060	KeggGhostKoala	K01091	 gph; phosphoglycolate phosphatase [EC:3.1.3.18]	0
4135	KeggGhostKoala	K01091	 gph; phosphoglycolate phosphatase [EC:3.1.3.18]	0
3016	KeggGhostKoala	K01092	 E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	0
2193	KeggGhostKoala	K01104		0
3648	KeggGhostKoala	K01119	 cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]	0
1490	KeggGhostKoala	K01126	 E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	0
